session_id,response_id,expense_category,expense,age_suggested,age_selected,age_changed,gender_suggested,gender_selected,gender_changed,race_suggested,race_selected,race_changed,profession_suggested,profession_selected,profession_changed,profession_option_1,profession_option_2,profession_option_3,profession_option_4,task_submit_time
3TE3O857308TJVS9IRVOU3ZHPPO2RZ,45bc2e2d-79d8-4d51-9a72-e9ad823e811d,environmental protections,wind turbine farms,45,45,0,female,female,0,white,asian,1,doctor,business executive,1,journalist,doctor,business executive,congress member,43:11.9
3HMVI3QICJSVRBMZDIN4XGI9ZM31YS,b01af687-6f14-4266-829b-deaa79cef852,public assistance,school meals,75,75,0,male,male,0,latino,latino,0,clergy,clergy,0,pharmacist,congress member,clergy,insurance salesperson,48:40.3
3TXMY6UCAEO65C5B25VU1QYY5P0QCM,0804e0b4-f8f3-47c2-960f-347853511cfa,debt,national debt,75,75,0,female,female,0,asian,asian,0,clergy,congress member,1,congress member,business executive,clergy,nurse,22:34.8
3NJM2BJS4W6L504W2SG51L8O0HYPCQ,e764e33d-5325-4289-99d9-7ef84e00677d,debt,national debt,45,45,0,female,female,0,latino,latino,0,stockbroker,stockbroker,0,stockbroker,lawyer,pharmacist,police officer,38:06.2
3I7DHKZYGN0OF26N9FXSBLOA6NY5FQ,d914ef12-eb9b-4cc6-8e96-ba17bb436de7,defense,U.S. Immigration and Customs Enforcement (ICE),45,45,0,female,female,0,asian,asian,0,state governor,state governor,0,advertising practitioner,nurse,state governor,journalist,37:58.5
32EYX73OY092371B1B5U0MU98JURUZ,656acda2-365f-467e-848c-5f7699570443,health services,veterans' medical care,75,45,1,female,female,0,asian,asian,0,nurse,nurse,0,insurance salesperson,congress member,nurse,university professor,19:46.1
3WJEQKOXA82UVTOWXC9OUU02Y0MA1P,4f0bf41e-d462-49b0-9b3d-6c69105f9940,defense,U.S. army,75,45,1,male,male,0,white,white,0,congress member,congress member,0,congress member,lawyer,stockbroker,engineer,23:34.7
3WJEQKOXA82UVTOWXC9OUU02XSM1AZ,14937548-c86b-4859-a4c1-5fabce54dd93,health services,Children's Health Insurance Program (CHIP),75,45,1,male,female,1,white,white,0,congress member,doctor,1,business executive,doctor,congress member,clergy,27:01.8
39K0FND3AHFRRIALQYSMEMO5V3KAMJ,81d27b82-a706-47a2-81d5-74a7f9202107,debt,national debt,45,45,0,female,male,1,latino,white,1,pharmacist,insurance salesperson,1,police officer,pharmacist,clergy,insurance salesperson,19:12.7
3VSOLARPKB9C0DS6SA97MS4FOXQ39R,b62af0b9-2e8a-499c-b4c3-185e1cc81eae,scientific and medical research,artificial intelligence research,75,75,0,male,male,0,asian,asian,0,business executive,business executive,0,doctor,business executive,journalist,union leader,25:07.3
37TRT2X24QR69K9STFFQT5GU98VJB2,293b8c39-f704-4af6-a788-01abd5b92842,health services,public employees health insurance,45,45,0,male,male,0,latino,latino,0,police officer,nurse,1,police officer,nurse,business executive,journalist,50:46.3
3G2UL9A02DE7JDRVWF9LFZPT4BU675,8b5c6778-f3a4-4315-a72c-86346e445010,scientific and medical research,climate change research,45,45,0,male,female,1,asian,white,1,nurse,union leader,1,stockbroker,lawyer,union leader,nurse,19:45.9
304SM51WA34Z8NSIG9O4L67H5OZBSV,d0b20af7-6543-4c44-b527-7169e594df3b,education,school teacher's pay,45,45,0,female,male,1,black,white,1,pharmacist,pharmacist,0,university professor,advertising practitioner,pharmacist,union leader,59:09.6
304SM51WA34Z8NSIG9O4L67H5OZBSV,86fdd64d-8929-4f23-aa66-2df77e7a8f93,scientific and medical research,public health research,45,45,0,male,male,0,latino,asian,1,lawyer,pharmacist,1,lawyer,pharmacist,insurance salesperson,state governor,56:20.2
3ATTHHXXWAOHRCSNGTM861SMFF9IXF,61978443-5f22-404b-8d9f-f0e850b42236,public assistance,school meals,45,45,0,male,female,1,latino,black,1,state governor,nurse,1,journalist,nurse,insurance salesperson,state governor,16:17.5
3NL0RFNU0FNHZ5U1WL5FM6A1EBV4K9,1a00a1dc-143c-48cc-aa3a-79bf6ff2897b,health services,public employees health insurance,45,45,0,male,male,0,white,white,0,pharmacist,pharmacist,0,business executive,journalist,state governor,pharmacist,11:16.5
3OVR4I9USPJ3A8SW9QPCISMADUK4QO,96498ecf-15b3-47f5-9b12-004dc3276e7a,education,school special education supplies,25,25,0,female,female,0,white,white,0,business executive,lawyer,1,lawyer,pharmacist,state governor,business executive,16:29.0
3OVR4I9USPJ3A8SW9QPCISMADUK4QO,75819eec-bf4c-468d-a228-10863c69da27,health services,Medicare,75,45,1,female,female,0,latino,asian,1,lawyer,congress member,1,nurse,congress member,advertising practitioner,lawyer,14:37.3
3JCG6DTRV3QAZDFU7NWPLVNF8C5QQA,d93823eb-51f9-4f4b-9cbc-0cfda80f27f1,health services,Medicaid,45,45,0,male,female,1,black,black,0,pharmacist,pharmacist,0,lawyer,stockbroker,state governor,pharmacist,19:28.2
3WS1NTTKEYCPKVKMC9RGUQSJP090FS,2dc0b205-d586-4507-bc70-b1561abb42eb,defense,defense contractors,75,75,0,male,male,0,asian,white,1,business executive,engineer,1,clergy,engineer,union leader,business executive,21:53.1
3OSWBBLG1EX0J1C1OFLXF4C9N9VXDK,bf2e6369-1a8f-497e-ba62-ded66f53ba3f,health services,Children's Health Insurance Program (CHIP),25,45,1,male,male,0,white,black,1,union leader,nurse,1,business executive,journalist,nurse,union leader,44:29.5
3ZOTGHDK5IBJRHHRKETQRQ7GCFKOSY,cc08e70d-87db-47f6-8a40-1d511465b19d,health services,Medicare,25,75,1,male,male,0,black,latino,1,pharmacist,pharmacist,0,insurance salesperson,pharmacist,university professor,union leader,16:32.1
3ON104KXQKW8U5OILZOIAH4WZPR4W4,f99fc60d-3438-4474-b392-66f7363e502e,public assistance,school meals,25,45,1,female,female,0,white,white,0,lawyer,lawyer,0,insurance salesperson,union leader,nurse,lawyer,18:13.6
3UN61F00HWPLISBW0AXMSA2T78QR5G,d615dc06-1ba3-489c-b1e1-9944fe23eb9f,scientific and medical research,renewable energy research,45,45,0,male,male,0,white,white,0,engineer,police officer,1,advertising practitioner,engineer,clergy,police officer,46:40.6
3HRMW88U16QVQ5C3YWVTPGCSLKHM0I,7de64bbb-12cb-478e-831f-4c7c51a0d1bd,scientific and medical research,artificial intelligence research,45,45,0,male,female,1,white,latino,1,university professor,doctor,1,university professor,doctor,union leader,advertising practitioner,39:29.3
3KWTYT08703AFUGJVQ0Q6YTU1RDL5I,debfd68d-389e-440d-9985-6e992afabb52,scientific and medical research,climate change research,75,75,0,female,female,0,latino,latino,0,engineer,engineer,0,clergy,engineer,congress member,insurance salesperson,51:48.6
3PMBY0YE2730DDOPL3K8FV89VRDC97,f4a77825-ed70-49ae-8837-61a4eb877ff9,environmental protections,"water quality protection in lakes, rivers, and streams",25,45,1,female,male,1,asian,white,1,lawyer,doctor,1,police officer,advertising practitioner,lawyer,doctor,37:33.8
35H6S234SA0SW9DC8MUOHFBXDDZ565,8995e6fc-6959-4d50-acd0-a9b71c3bbdf6,environmental protections,parks construction and maintenance,75,45,1,male,female,1,black,white,1,pharmacist,journalist,1,congress member,pharmacist,journalist,insurance salesperson,29:53.3
35H6S234SA0SW9DC8MUOHFBXDDZ565,d27bc0f5-e443-4c5a-9141-b3daf01551d3,public assistance,school meals,25,75,1,male,female,1,latino,white,1,engineer,advertising practitioner,1,lawyer,state governor,advertising practitioner,engineer,33:37.0
3OS4RQUCR9FQ4INWAPO5E7O2GJKBFX,9c4fbdae-4d8b-46af-a6b1-3b35756a2ec1,debt,national debt,45,45,0,female,female,0,latino,latino,0,stockbroker,stockbroker,0,clergy,police officer,engineer,stockbroker,25:57.0
3S06PH7KSR4ST0R8HM0QKV88IQJ1DR,9e5490f9-5fb0-462f-b6a2-5350ec6f03dc,scientific and medical research,public health research,75,45,1,male,male,0,latino,latino,0,doctor,doctor,0,union leader,advertising practitioner,clergy,doctor,50:35.9
3ZGVPD4G6THW5L8DBN9XHTA6Y1XZTU,fdac6d9b-a877-487a-8665-de77a16bd097,education,school tuition support,25,45,1,female,female,0,white,white,0,state governor,state governor,0,nurse,advertising practitioner,lawyer,state governor,47:33.3
3AMYWKA6YBME4JJUD1QNQLBOU1NO6Y,3184c336-dd5d-477b-84e5-194446fef8c5,environmental protections,natutal disaster risk reduction,25,75,1,male,male,0,black,asian,1,advertising practitioner,advertising practitioner,0,state governor,pharmacist,lawyer,advertising practitioner,11:30.4
3Z4AIRP3C6D6R6WP8M12E2B0YCOX1Q,e2c5d62e-ab7d-46b2-851a-360fa9a524ae,public assistance,surviving children and spouses of deceased workers,75,75,0,male,female,1,black,latino,1,stockbroker,nurse,1,stockbroker,nurse,state governor,university professor,28:31.5
3ZPBJO59KP13XBCMJB3BCIOFZIEDH7,107c99d3-cdc7-44a9-8ffb-c86e3df279ee,health services,Medicare,75,45,1,male,male,0,latino,latino,0,clergy,nurse,1,nurse,clergy,business executive,state governor,47:39.9
3S96KQ6I9M4T2K3HJ5K0Q1R3A2HDT5,a0a0d5dd-21a5-4cb1-ada2-c4a384735ca1,environmental protections,wind turbine farms,25,25,0,female,female,0,black,latino,1,congress member,business executive,1,business executive,congress member,university professor,doctor,10:36.3
37M28K1J0QD1QA40N1FUYUWORR9AJZ,9203d6ef-6c80-4f2f-81cd-d3d797ca2af0,defense,U.S. Customs and Border Protection (CBP),75,75,0,female,male,1,white,white,0,congress member,business executive,1,business executive,journalist,congress member,nurse,11:47.4
3QXNC7EIPIVGJLT99NROKU68KDJ90Y,4e7e7811-ff98-4133-907f-3bf9ddc25824,education,school text books,75,75,0,female,female,0,white,asian,1,stockbroker,stockbroker,0,university professor,nurse,police officer,stockbroker,39:32.4
3E4GGUZ1T8R7WRFES7MRTRD3UHZ2KF,5cfe2f07-1629-48bd-8277-765d82f7bc94,defense,U.S. military operations in Iraq and Afghanistan,25,25,0,female,female,0,black,black,0,state governor,pharmacist,1,state governor,pharmacist,advertising practitioner,university professor,25:41.1
35GCEFQ6I5OR64AJW836ZG682WJZ3Y,90381d86-003a-474d-a692-9001b95564b7,education,school computers,25,25,0,male,female,1,latino,latino,0,state governor,journalist,1,state governor,journalist,business executive,pharmacist,59:33.5
3SB4CE2TJVV2LU9P45UVP3432M8AX1,aa6e9ab0-4f82-4dae-990d-edcd2801371f,defense,U.S. Customs and Border Protection (CBP),45,45,0,female,female,0,white,white,0,police officer,police officer,0,police officer,university professor,engineer,business executive,10:36.2
3BF51CHDTVA9YRBS7ZFGXB4W5CY0HW,c130a34a-a15f-4c7a-abbe-7f21cab5d81c,environmental protections,parks construction and maintenance,25,25,0,male,male,0,black,white,1,nurse,nurse,0,advertising practitioner,police officer,nurse,lawyer,10:49.9
3L4PIM1GQTGJKGLGBC2J370M3KRYRF,3a9547b8-69a0-4c3d-99c6-866a6d0fb1ba,public assistance,commissions for persons with disabilities,45,45,0,female,female,0,white,latino,1,pharmacist,journalist,1,stockbroker,police officer,pharmacist,journalist,15:12.1
3SNVL38CI4SKU97GP0BX54MP4V6KC8,18240a25-b664-4050-905c-922d37f195f9,scientific and medical research,renewable energy research,25,25,0,female,female,0,white,white,0,stockbroker,stockbroker,0,stockbroker,union leader,lawyer,pharmacist,41:09.4
3180JW2OT4C4K4SJS5ODQJG2ZI5J59,b7da4db4-3794-4210-a4dd-121575a036ff,environmental protections,waste reduction and management,45,25,1,female,male,1,asian,latino,1,state governor,journalist,1,journalist,state governor,insurance salesperson,pharmacist,09:56.7
31IBVUNM9SZ5DWL2F6F5FJI9IFIFVW,61308e6a-f354-4ef0-bb2d-1ce8f300931b,debt,national debt,45,45,0,male,male,0,white,white,0,insurance salesperson,pharmacist,1,union leader,journalist,insurance salesperson,pharmacist,34:39.7
31Z0PCVWUKFDLB27SSHEQ9H7OHG7TO,1e7c0b36-205d-4e93-87a5-84038927be9e,debt,national debt,45,45,0,female,female,0,black,black,0,doctor,doctor,0,doctor,clergy,police officer,insurance salesperson,45:36.7
3F0BG9B9MPN92X112Y4DYQ9M206Y79,fc02875c-8876-48a1-8738-45f1e88ec3f4,education,school text books,75,45,1,male,female,1,asian,latino,1,congress member,congress member,0,congress member,journalist,stockbroker,doctor,49:10.8
3KAKFY4PGU25BEL9W4FKZL3I6E1I3U,3b7d78e1-bcb0-44ee-995b-ccda667c713d,scientific and medical research,artificial intelligence research,75,45,1,female,male,1,white,white,0,insurance salesperson,engineer,1,clergy,state governor,insurance salesperson,engineer,12:54.1
3WR9XG3T63BT4QNHDRG6I15F83M47I,80570bc9-a0b4-431f-99cf-4fee46ad1964,defense,U.S. Customs and Border Protection (CBP),75,75,0,female,male,1,asian,white,1,journalist,journalist,0,journalist,advertising practitioner,doctor,congress member,35:00.9
3WR9XG3T63BT4QNHDRG6I15F83M47I,75a3012f-a06c-4ad2-9a1c-051f0b4709f7,debt,national debt,25,45,1,male,male,0,asian,asian,0,lawyer,lawyer,0,state governor,nurse,advertising practitioner,lawyer,31:55.1
39JEC7537U1YAK1SO4P47DX6MPUVCG,1c0b78e1-1c30-42c4-b18f-b067f12bb1a5,defense,U.S. Customs and Border Protection (CBP),45,45,0,female,female,0,white,white,0,university professor,university professor,0,engineer,state governor,university professor,advertising practitioner,54:44.0
3OLQQLKKNSP4GNLC36HGUDMFAILJE3,88505566-d8b3-4719-9f55-f7350ede92a4,education,school psychological services,25,25,0,female,female,0,white,latino,1,congress member,nurse,1,congress member,nurse,clergy,business executive,53:32.5
3SPJ03342132MS2337TA1GEVU4OJY2,1d336340-d4e4-4965-ac68-612655b90479,education,school text books,45,45,0,female,female,0,white,white,0,advertising practitioner,advertising practitioner,0,police officer,advertising practitioner,doctor,lawyer,03:37.1
3VAR3R6G1P118X2I6GNLAZ7FYDLO8O,9f7bb634-0ac1-4a2d-ad4c-d4f09486798c,scientific and medical research,climate change research,75,25,1,male,male,0,asian,white,1,congress member,congress member,0,doctor,clergy,stockbroker,congress member,57:25.8
3U088ZLJVKTRVH6H2Y1GYEEJK9R0WU,be1db456-e340-41f3-be86-134feb126c9b,education,school teacher's pay,45,45,0,male,female,1,latino,black,1,pharmacist,lawyer,1,pharmacist,lawyer,insurance salesperson,union leader,18:14.8
386PBUZZXFXIMTV4KS4K78CZKOTLJI,885d2763-5255-4818-a19a-923526555c12,environmental protections,animal habitat protection,75,75,0,male,male,0,white,white,0,insurance salesperson,union leader,1,union leader,university professor,insurance salesperson,nurse,12:01.3
34QN5IT0TZRG5GAZ4VLAKYBX2BA80R,ad41172d-b9d4-4152-b7a7-dfa2a518c322,public assistance,food stamps,25,25,0,male,male,0,latino,latino,0,pharmacist,pharmacist,0,university professor,insurance salesperson,pharmacist,congress member,23:30.0
3CTOC39K37QJ7862GY3AO3UYOW7J79,a0420f41-45a4-4d79-b2be-31a859c3ae12,environmental protections,solar panel farms,45,45,0,female,male,1,white,white,0,pharmacist,state governor,1,state governor,clergy,pharmacist,business executive,52:17.6
3OVHNO1VE61POWCGPX9ICPSKVVWDZ8,99bc25fc-1af5-423f-8478-519c47a066d6,debt,national debt,25,45,1,male,male,0,white,white,0,union leader,business executive,1,business executive,pharmacist,union leader,university professor,10:37.2
3KKG4CDWKIYXI9BASOEQWXWL3UX94O,9ced1807-8070-4878-9ea3-0aad0bb2bc1f,debt,national debt,45,45,0,female,female,0,black,black,0,engineer,engineer,0,stockbroker,state governor,engineer,journalist,40:39.2
37W3JXSD668OSC22A6CPQ683WAQWYN,b84445e6-49ef-4f64-9203-6223978f2d74,public assistance,low-income childcare assistance,45,45,0,male,female,1,asian,asian,0,engineer,state governor,1,engineer,state governor,university professor,advertising practitioner,55:26.3
37W3JXSD668OSC22A6CPQ683WAQWYN,c5603bc5-3f11-4fa4-a81f-9a493324c163,public assistance,veteran's benefits,75,75,0,male,male,0,latino,latino,0,advertising practitioner,state governor,1,journalist,state governor,advertising practitioner,doctor,58:45.9
3EF8EXOTT1V5WMR0RIM1NT3LMBRJ1Z,33ec010d-85ee-4e45-b77a-4cebe7089d65,environmental protections,parks construction and maintenance,45,45,0,female,male,1,white,black,1,state governor,state governor,0,insurance salesperson,university professor,pharmacist,state governor,10:28.5
3EFVCAY5L39N7MBLQ3VG23QTZFI8JO,d7285385-7d48-431c-910e-a7d1fc0dceff,debt,national debt,75,45,1,male,female,1,latino,asian,1,police officer,business executive,1,business executive,engineer,university professor,police officer,07:05.9
3TS1AR6UQQE326K6X8CP9526XHFF7D,bb5997a0-684f-4e74-8722-3fcc4d68e95f,debt,national debt,45,45,0,male,female,1,white,white,0,nurse,nurse,0,police officer,lawyer,nurse,insurance salesperson,31:48.0
3TS1AR6UQQE326K6X8CP9526XHFF7D,dd5da28e-fcc3-4870-91cd-57c2e3eeea1f,health services,veterans' medical care,45,45,0,male,male,0,latino,latino,0,journalist,journalist,0,journalist,pharmacist,police officer,business executive,32:09.8
3Z2R0DQ0JHE4ARN4WLBOVW0YACWE2K,deec678e-289c-4e77-b075-745481fcd830,public assistance,school meals,45,25,1,male,female,1,white,black,1,stockbroker,stockbroker,0,stockbroker,clergy,police officer,doctor,48:54.9
3U088ZLJVKTRVH6H2Y1GYEEJJMRW0F,ea683d95-3b8e-4427-9619-de68671c10ff,debt,national debt,75,45,1,female,female,0,white,white,0,lawyer,stockbroker,1,police officer,doctor,stockbroker,lawyer,10:15.2
3HSYG7LRBJY2D7J4HDSVTNZXBASKKC,a6b259e8-2120-424b-95f4-7df12e59bbeb,debt,national debt,75,75,0,female,female,0,black,white,1,nurse,state governor,1,state governor,advertising practitioner,university professor,nurse,48:49.0
3VNL7UK1XFJQ04HDABFQE1UOLUYFTC,e1743a3d-5aee-4d78-a60f-f1a2c6d755b6,education,school computers,45,45,0,female,female,0,white,white,0,union leader,union leader,0,union leader,stockbroker,lawyer,engineer,14:23.4
3VNL7UK1XFJQ04HDABFQE1UOLUYFTC,b3642306-9d5c-4ec8-b7cb-fa27e974eedf,public assistance,low-income housing assitance,45,45,0,male,male,0,white,white,0,nurse,business executive,1,business executive,lawyer,nurse,police officer,12:35.2
31T4R4OBOSGWZU0W66MO1ZH30G17CW,5e582d32-f706-48ca-bd83-e2b4a5060e3e,scientific and medical research,public health research,45,25,1,female,female,0,white,black,1,union leader,union leader,0,journalist,union leader,nurse,insurance salesperson,29:29.3
3OVHNO1VE61POWCGPX9ICPSKVZKZDQ,c0cb9e71-a9d4-4bb6-a3be-15f25b403880,scientific and medical research,artificial intelligence research,45,45,0,male,male,0,latino,latino,0,police officer,advertising practitioner,1,pharmacist,advertising practitioner,police officer,clergy,50:43.7
3Q5ZZ9ZEVOFF0NW011RM1T7OIN058V,fcbc257b-6bb1-4f68-aab7-3878860a8053,scientific and medical research,renewable energy research,25,45,1,female,male,1,black,white,1,business executive,business executive,0,journalist,union leader,nurse,business executive,16:26.4
3W2LOLRXLBFO0BWZ7X1SUZLB68UKRP,b84f0df9-8406-44e6-bd9d-90d49abf28f3,scientific and medical research,medical vaccine research,75,45,1,female,female,0,latino,asian,1,union leader,pharmacist,1,pharmacist,advertising practitioner,journalist,union leader,36:03.0
33UKMF9319K0J9ZE5VKFV59PC36TTY,746e003e-8a9e-44f7-ab11-ba77cac5cd8e,debt,national debt,25,25,0,female,female,0,white,white,0,lawyer,lawyer,0,stockbroker,engineer,lawyer,police officer,10:04.8
304SM51WA34Z8NSIG9O4L67H5OCBS8,6815e76b-82ea-4fb3-9654-772c427a691b,environmental protections,parks construction and maintenance,75,45,1,female,female,0,latino,asian,1,journalist,journalist,0,doctor,journalist,insurance salesperson,union leader,50:44.2
3YW4XOSQKQLEA22U3HQFUVCW4VKU1A,616cdbc6-877b-4e53-bff1-3c8cd651c050,health services,school health services,75,75,0,female,female,0,asian,asian,0,insurance salesperson,insurance salesperson,0,insurance salesperson,nurse,lawyer,congress member,31:37.6
34MAJL3QP4NB37MUBFDG5KTZ25C34V,6b21ec26-f603-4794-868e-398d3f2d7c35,health services,Medicaid,45,45,0,female,female,0,black,black,0,insurance salesperson,nurse,1,police officer,nurse,journalist,insurance salesperson,24:53.4
3MB8LZR5BFTDXD1M2D4W8NCC01YLKZ,b6c91917-f6f5-45d0-b528-25f597a73bb7,public assistance,veteran's benefits,45,45,0,female,male,1,latino,black,1,congress member,journalist,1,journalist,congress member,advertising practitioner,nurse,36:43.9
3BV8HQ2ZZW1P2FPT3IL5PQRJ5HKA6G,303f9ff5-388a-490c-8f6c-e0624de6c738,debt,national debt,25,75,1,male,male,0,black,white,1,nurse,university professor,1,nurse,university professor,insurance salesperson,congress member,27:17.6
